央视,#genre#
CCTV-1综合,http://69.30.245.50/live/cctv1.m3u8#http://198.204.228.26/live/cctv1hd.m3u8#http://74.91.26.218:82/live/cctv1hd.m3u8#http://204.12.221.218:8181/3m1080p/cctv1.m3u8#http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV-2财经,http://192.151.150.154/live/cctv2hd.m3u8#http://198.204.228.26/live/cctv2hd.m3u8#http://107.150.60.122/live/cctv2hd.m3u8#http://204.12.221.218:8181/3m1080p/cctv2.m3u8#http://74.91.26.218:82/live/cctv2hd.m3u8#http://bztv.tvbus.cc:8081/cdnlive/cctv2.m3u8
CCTV-3综艺,http://107.150.60.122/live/cctv3hd.m3u8#http://69.30.245.50/live/cctv3.m3u8#http://74.91.26.218:82/live/cctv3hd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd
CCTV-4中文国际,http://173.208.212.130:8181/1080p/cctv4.m3u8#http://74.91.26.218:82/live/cctv4hd.m3u8#http://107.150.60.122/live/cctv4hd.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub#https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8#https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8
CCTV-5+体育赛事,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009#http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV-5体育,http://107.150.60.122/live/cctv5hd.m3u8#http://173.208.212.130:8181/720p/cctv5.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub#http://207.56.13.146:81/cdnlive/cctv5.m3u8
CCTV-6电影,http://74.91.26.218:82/live/cctv6hd.m3u8#http://198.204.228.26/live/cctv6hd.m3u8#http://69.30.245.50/live/cctv6.m3u8#http://198.204.240.250:82/live/cctv6.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv6hd
CCTV-7国防军事,http://107.150.60.122/live/cctv7hd.m3u8#http://74.91.26.218:82/live/cctv7hd.m3u8#http://69.30.245.50/live/cctv7.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv7hd#http://207.56.13.146:81/cdnlive/cctv7.m3u8
CCTV-8电视剧,http://74.91.26.218:82/live/cctv8hd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8k#http://bztv.tvbus.cc:8081/cdnlive/cctv8.m3u8#http://69.30.245.50/live/cctv8.m3u8#http://207.56.13.146:81/cdnlive/cctv8.m3u8
CCTV-9纪录,https://xykt-fix.github.io/Y77.m3u8#http://107.150.60.122/live/cctv9hd.m3u8#http://74.91.26.218:82/live/cctv9hd.m3u8#http://198.204.228.26/live/cctv9hd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv9hd#http://192.151.150.154/live/cctv9hd.m3u8
CCTV-10科教,http://74.91.26.218:82/live/cctv10hd.m3u8#http://69.30.245.50/live/cctv10.m3u8#http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009#http://204.12.221.218:8181/3m1080p/cctv10.m3u8#http://bztv.tvbus.cc:8081/cdnlive/cctv10.m3u8
CCTV-11戏曲,http://198.204.228.26/live/cctv11hd.m3u8#http://74.91.26.218:82/live/cctv11hd.m3u8#http://204.12.221.218:8181/3m1080p/cctv11.m3u8#http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009#http://38.75.136.137:98/gslb/dsdqpub/cctv11hd.m3u8?auth=testpub
